satisfaction,total_bill,tip,size,time,sex,day
5.4,59.35,13.35,5,Dinner,Male,Monday
2.9,92.41,10.76,3,Dinner,Female,Sunday
6.4,43.73,12.03,3,Dinner,Female,Thursday
2.3,49.63,0.47,6,Dinner,Male,Thursday
5.1,25.08,7.67,6,Dinner,Male,Monday
4.5,51.0,12.87,5,Dinner,Female,Friday
2.4,80.22,10.51,6,Dinner,Female,Saturday
3.6,33.65,0.81,2,Dinner,Male,Saturday
4.4,70.69,4.81,2,Dinner,Male,Sunday
4.3,32.93,2.42,3,Dinner,Female,Monday
3.6,35.43,2.08,6,Dinner,Female,Monday
5.6,43.7,10.15,1,Dinner,Female,Thursday
3.8,49.75,2.67,3,Dinner,Male,Monday
4.3,36.31,2.24,2,Dinner,Male,Wednesday
7.3,40.5,8.22,4,Dinner,Male,Monday
4.4,17.37,1.61,3,Dinner,Male,Friday
6.7,66.3,11.14,3,Dinner,Female,Saturday
5.4,52.79,3.15,5,Dinner,Male,Sunday
2.7,37.06,4.09,3,Dinner,Male,Monday
4.8,34.4,4.7,1,Dinner,Male,Friday
5.3,34.52,10.3,2,Dinner,Female,Friday
3.0,69.34,2.16,3,Dinner,Female,Saturday
3.4,98.77,9.54,5,Dinner,Male,Saturday
4.5,53.46,13.2,1,Dinner,Male,Monday
4.5,42.37,7.15,2,Dinner,Male,Monday
4.6,63.07,12.52,5,Dinner,Male,Saturday
2.8,36.49,3.21,3,Dinner,Female,Tuesday
6.0,85.84,15.6,4,Dinner,Male,Saturday
6.4,25.43,9.7,4,Dinner,Female,Thursday
5.5,41.15,9.16,3,Dinner,Male,Monday
3.6,36.83,3.01,6,Dinner,Male,Thursday
5.4,33.19,6.94,4,Dinner,Male,Tuesday
5.4,75.81,16.58,6,Dinner,Female,Sunday
3.6,46.53,2.94,4,Dinner,Male,Saturday
4.5,72.52,16.32,3,Dinner,Female,Saturday
4.2,66.38,9.51,3,Dinner,Male,Saturday
2.7,50.11,6.26,1,Dinner,Male,Tuesday
6.1,59.05,12.06,6,Dinner,Male,Friday
4.4,31.35,4.66,6,Dinner,Female,Thursday
5.2,40.42,2.59,5,Dinner,Female,Wednesday
3.4,95.58,4.22,3,Dinner,Female,Saturday
5.9,47.11,15.1,4,Dinner,Male,Monday
4.0,59.53,5.97,3,Dinner,Male,Friday
3.7,27.48,0.38,1,Dinner,Female,Thursday
5.4,85.81,14.32,2,Dinner,Male,Saturday
4.7,39.02,10.39,2,Dinner,Female,Monday
3.3,43.18,4.54,4,Dinner,Female,Thursday
4.4,41.81,6.27,1,Dinner,Female,Thursday
4.0,44.61,7.89,6,Dinner,Female,Tuesday
4.0,76.77,12.5,4,Dinner,Male,Saturday
4.8,60.63,10.4,6,Dinner,Female,Saturday
4.2,38.18,1.96,3,Dinner,Female,Thursday
4.0,42.11,3.52,6,Dinner,Female,Thursday
4.7,32.93,6.77,6,Dinner,Female,Tuesday
7.2,46.75,16.02,3,Dinner,Female,Tuesday
3.8,83.5,8.91,6,Dinner,Male,Sunday
5.2,42.21,2.73,6,Dinner,Male,Wednesday
5.1,66.31,13.97,3,Dinner,Female,Saturday
5.8,37.62,12.36,1,Dinner,Male,Monday
5.3,73.31,20.59,2,Dinner,Female,Saturday
3.8,83.72,14.83,2,Dinner,Female,Sunday
7.0,58.96,10.07,2,Dinner,Male,Saturday
6.4,42.49,15.69,6,Dinner,Female,Thursday
5.5,43.24,8.19,2,Dinner,Male,Friday
6.3,44.34,12.0,1,Dinner,Male,Monday
4.7,45.59,3.57,4,Dinner,Male,Tuesday
5.3,53.93,8.45,3,Dinner,Female,Friday
4.4,38.45,5.85,5,Dinner,Male,Tuesday
5.5,61.3,7.08,2,Dinner,Female,Saturday
8.8,56.9,19.32,1,Dinner,Female,Friday
6.0,63.6,16.5,5,Dinner,Female,Saturday
6.5,41.98,13.15,5,Dinner,Female,Saturday
6.8,35.59,14.13,3,Dinner,Female,Friday
5.5,78.58,12.1,3,Dinner,Male,Saturday
4.8,41.5,8.06,3,Dinner,Female,Wednesday
5.0,33.49,8.27,6,Dinner,Male,Thursday
7.6,37.11,12.52,4,Dinner,Female,Tuesday
2.5,64.68,8.72,5,Dinner,Male,Sunday
8.7,36.84,9.76,5,Dinner,Female,Thursday
3.2,50.66,7.4,6,Dinner,Male,Thursday
3.8,79.52,1.19,6,Dinner,Male,Saturday
5.9,51.83,9.74,5,Dinner,Female,Saturday
5.6,42.9,15.74,1,Dinner,Female,Tuesday
8.0,23.96,13.59,3,Dinner,Male,Tuesday
5.0,44.7,3.08,2,Dinner,Male,Monday
5.1,44.23,6.82,6,Dinner,Female,Thursday
4.9,23.12,0.47,2,Dinner,Female,Tuesday
5.4,23.05,7.83,5,Dinner,Female,Friday
6.6,41.3,7.53,3,Dinner,Male,Thursday
6.5,42.55,10.15,4,Dinner,Female,Tuesday
2.8,39.26,2.07,6,Dinner,Male,Tuesday
3.4,35.34,10.68,2,Dinner,Female,Wednesday
5.2,84.76,7.82,3,Dinner,Female,Sunday
6.8,54.27,4.13,6,Dinner,Female,Monday
4.0,54.56,2.35,6,Dinner,Female,Friday
5.3,75.71,11.46,3,Dinner,Female,Sunday
3.8,37.95,0.34,5,Dinner,Male,Monday
3.0,55.27,9.1,5,Dinner,Female,Monday
3.0,48.57,4.64,4,Dinner,Female,Thursday
6.4,84.31,19.86,6,Dinner,Female,Saturday
4.2,68.83,8.68,2,Dinner,Male,Sunday
3.2,47.84,7.31,3,Dinner,Female,Friday
2.1,39.07,1.73,1,Dinner,Female,Monday
4.5,50.12,10.69,4,Dinner,Female,Friday
3.4,45.5,3.35,2,Dinner,Male,Wednesday
2.9,53.39,0.36,6,Dinner,Female,Sunday
4.4,46.98,7.24,4,Dinner,Male,Friday
4.1,42.08,4.69,6,Dinner,Male,Friday
4.6,44.61,7.57,3,Dinner,Male,Wednesday
5.5,58.86,8.34,4,Dinner,Male,Wednesday
4.3,56.77,4.83,6,Dinner,Female,Thursday
2.4,50.91,7.74,6,Dinner,Female,Monday
3.8,92.26,11.44,4,Dinner,Male,Saturday
7.0,68.64,15.23,4,Dinner,Male,Saturday
4.1,49.88,8.68,6,Dinner,Male,Thursday
3.0,53.87,11.54,3,Dinner,Female,Friday
4.5,44.29,13.29,1,Dinner,Male,Wednesday
5.9,50.8,9.04,1,Dinner,Male,Sunday
4.6,41.95,5.78,2,Dinner,Male,Tuesday
4.2,32.18,3.83,3,Dinner,Male,Thursday
4.3,44.89,5.74,5,Dinner,Female,Thursday
5.9,35.72,14.19,4,Dinner,Female,Thursday
2.9,41.1,4.34,5,Dinner,Female,Wednesday
7.4,39.54,4.49,1,Dinner,Female,Thursday
9.2,35.02,16.54,4,Dinner,Female,Friday
3.0,45.15,6.16,4,Dinner,Female,Friday
5.6,49.92,8.54,5,Dinner,Male,Wednesday
4.6,49.1,9.11,4,Dinner,Female,Wednesday
3.7,95.54,9.27,4,Dinner,Male,Saturday
6.3,33.44,11.55,6,Dinner,Male,Monday
5.0,73.16,8.86,6,Dinner,Male,Sunday
6.0,26.52,4.54,2,Dinner,Male,Friday
5.0,46.28,8.97,4,Dinner,Female,Thursday
3.6,39.43,3.71,1,Dinner,Male,Wednesday
6.5,24.76,8.46,2,Dinner,Male,Friday
5.3,77.94,15.46,5,Dinner,Male,Saturday
1.7,52.39,3.37,3,Dinner,Male,Sunday
3.8,59.69,7.16,5,Dinner,Female,Sunday
2.3,52.72,4.9,1,Dinner,Female,Monday
1.9,34.56,1.23,4,Dinner,Male,Monday
5.1,60.15,10.0,3,Dinner,Male,Sunday
4.9,48.33,9.41,3,Dinner,Female,Monday
4.4,43.9,9.79,5,Dinner,Female,Monday
4.3,53.54,13.78,4,Dinner,Female,Sunday
3.2,42.12,6.06,4,Dinner,Female,Tuesday
5.8,40.77,9.81,4,Dinner,Female,Friday
6.3,35.66,5.74,2,Dinner,Male,Tuesday
3.4,50.72,7.26,2,Dinner,Female,Monday
5.1,43.36,7.57,2,Dinner,Male,Friday
4.4,83.37,14.22,6,Dinner,Female,Saturday
3.8,45.06,4.23,6,Dinner,Male,Tuesday
